field,male,female
STEM,392,400
STEM,NA,NA
STEM,513,NA
STEM,NA,662
STEM,383,377
STEM,994,306
STEM,559,184
STEM,758,238
Social Sciences,951,NA
Social Sciences,93,242
Social Sciences,345,139
Social Sciences,312,231
Social Sciences,211,345
Social Sciences,639,826
STEM,193,28
STEM,436,308
STEM,339,130
STEM,143,57
STEM,446,98
STEM,42,20
STEM,337,126
STEM,510,98
STEM,643,264
Social Sciences,284,500
Social Sciences,605,NA
Social Sciences,16,72
Social Sciences,216,572
Social Sciences,101,212
Humanities,167,239
Humanities,428,372
Humanities,506,729
Humanities,983,726
Other,444,300
Social Sciences,158,277
Other,208,361
